Sample	Result bases	QTrimmed bases	KTrimmed bases
31136-037_bbduk	418623393	26260977	712101096
31136-038_bbduk	339171477	24539784	585699751
31136-039_bbduk	400387156	24630892	671263410
31136-040_bbduk	448944510	31173308	735112893
31136-041_bbduk	211892449	16976279	344120434
31136-042_bbduk	396751755	28960321	661073995
31136-043_bbduk	442291223	30233312	735561576
31136-044_bbduk	362001842	21695288	615957673
31136-045_bbduk	330329396	21238417	559172302
31136-046_bbduk	406505732	26337659	670445263
31136-047_bbduk	358952578	23927373	624017812
31136-048_bbduk	354451284	20707145	607176057
31136-049_bbduk	409263154	26847744	676523650
31136-050_bbduk	394969727	23625771	691747803
31136-051_bbduk	435988118	26745134	747822555
31136-052_bbduk	308732635	19952820	438840178
31136-053_bbduk	381273681	22034717	597688960
31136-054_bbduk	365579360	21404615	587904919
31136-055_bbduk	354367895	20175733	588334318
31136-056_bbduk	369361741	24792878	565988851
31136-057_bbduk	383415942	27074049	618709890
31136-058_bbduk	370748333	26468513	548843659
31136-059_bbduk	462263442	27156114	657248617
31136-060_bbduk	305054091	18244081	493636106
31136-061_bbduk	355573753	21054300	522020597
31136-062_bbduk	366645483	24322372	513375792
31136-063_bbduk	386527838	24394862	648125798
31136-064_bbduk	152094180	9910390	235664861
31136-065_bbduk	348205210	23781305	560395095
31136-066_bbduk	297233339	19879876	486620112
31136-067_bbduk	320279730	20687252	546078331
31136-068_bbduk	60091854	4057706	107131291
