Sample	Result reads	QTrimmed reads	KTrimmed reads
31136-037_bbduk	18545234	2930105	18882673
31136-038_bbduk	15217703	2545203	15512080
31136-039_bbduk	17581979	2679964	17903744
31136-040_bbduk	19407142	3282105	19786073
31136-041_bbduk	9126079	1762901	9315360
31136-042_bbduk	17333743	3069500	17688334
31136-043_bbduk	19336854	3232559	19699248
31136-044_bbduk	16059095	2416418	16332554
31136-045_bbduk	14604301	2285955	14870747
31136-046_bbduk	17636430	2805503	17971821
31136-047_bbduk	16118179	2673282	16434416
31136-048_bbduk	15791106	2304427	16059099
31136-049_bbduk	17792022	2848534	18131355
31136-050_bbduk	17842326	2658577	18167158
31136-051_bbduk	19441657	2999912	19788282
31136-052_bbduk	12177941	1912983	12389624
31136-053_bbduk	15946130	2214816	16226188
31136-054_bbduk	15562409	2206144	15827950
31136-055_bbduk	15376631	2116734	15671299
31136-056_bbduk	15216813	2444500	15515257
31136-057_bbduk	16326785	2758455	16666706
31136-058_bbduk	14999243	2564912	15285984
31136-059_bbduk	18238905	2618203	18535683
31136-060_bbduk	13034443	1856327	13277316
31136-061_bbduk	14337939	2097472	14551836
31136-062_bbduk	14343605	2342452	14584262
31136-063_bbduk	16911124	2536559	17233396
31136-064_bbduk	6319326	977193	6443404
31136-065_bbduk	14793598	2438149	15101817
31136-066_bbduk	12765858	2038556	13032196
31136-067_bbduk	14125178	2150574	14405412
31136-068_bbduk	2716056	422108	2779148
