Sample	Reads passing filters	Reads that were too short
31136-037_bbduk	17721590	823644
31136-038_bbduk	14501682	716021
31136-039_bbduk	16819637	762342
31136-040_bbduk	18491814	915328
31136-041_bbduk	8635589	490490
31136-042_bbduk	16470120	863623
31136-043_bbduk	18428808	908046
31136-044_bbduk	15361324	697771
31136-045_bbduk	13942879	661422
31136-046_bbduk	16824946	811484
31136-047_bbduk	15352291	765888
31136-048_bbduk	15119578	671528
31136-049_bbduk	16978781	813241
31136-050_bbduk	17041869	800457
31136-051_bbduk	18570348	871309
31136-052_bbduk	11688571	489370
31136-053_bbduk	15346347	599783
31136-054_bbduk	14913173	649236
31136-055_bbduk	14722120	654511
31136-056_bbduk	14532081	684732
31136-057_bbduk	15526125	800660
31136-058_bbduk	14323157	676086
31136-059_bbduk	17567046	671859
31136-060_bbduk	12492213	542230
31136-061_bbduk	13793536	544403
31136-062_bbduk	13758337	585268
31136-063_bbduk	16170550	740574
31136-064_bbduk	6044512	274814
31136-065_bbduk	14056208	737390
31136-066_bbduk	12161266	604592
31136-067_bbduk	13448432	676746
31136-068_bbduk	2586351	129705
