.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
31136-037_deduped	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
31136-038_deduped	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
31136-039_deduped	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
31136-040_deduped	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
31136-041_deduped	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
31136-042_deduped	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
31136-043_deduped	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
31136-044_deduped	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
31136-045_deduped	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
31136-046_deduped	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
31136-047_deduped	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
31136-048_deduped	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
31136-049_deduped	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
31136-050_deduped	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
31136-051_deduped	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
31136-052_deduped	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
31136-053_deduped	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
31136-054_deduped	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
31136-055_deduped	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
31136-056_deduped	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
31136-057_deduped	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
31136-058_deduped	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
31136-059_deduped	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
31136-060_deduped	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
31136-061_deduped	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
31136-062_deduped	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
31136-063_deduped	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
31136-064_deduped	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
31136-065_deduped	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
31136-066_deduped	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
31136-067_deduped	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
31136-068_deduped	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
