Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
31136-041_deduped - polya	(1, 0.0037634954604717757)	(2, 0.004249854873825051)	(3, 0.00492149406369386)	(4, 0.005905792876432632)	(5, 0.006947991619332509)	(6, 0.008140730180651257)	(7, 0.012112665389703008)	(8, 0.01952385645032435)	(9, 0.022905212371732837)	(10, 0.02817410601639332)	(11, 0.03211130126734841)	(12, 0.04533564531614462)	(13, 0.05297843609741038)	(14, 0.06018118740945175)	(15, 0.07033683515970943)	(16, 0.10463675378714758)	(17, 0.10705697086788174)	(18, 0.10917610831177815)	(19, 0.11283538389795994)	(20, 0.11394706255705314)	(21, 0.11500084128598524)	(22, 0.11585776025236959)	(23, 0.11709681875781722)	(24, 0.1179189977661049)	(25, 0.11872959678836036)	(26, 0.11900751645313365)	(27, 0.11945913590839027)	(28, 0.119760215545228)	(29, 0.12002655522396909)	(30, 0.12024657495858128)	(31, 0.12053607460938681)	(32, 0.12066345445574124)	(33, 0.1206981944138379)
31136-051_deduped - polya	(1, 0.003543283087640576)	(2, 0.0038717637386224534)	(3, 0.004334867607219854)	(4, 0.005158761699026858)	(5, 0.006079584507517038)	(6, 0.00695732788637025)	(7, 0.010317523398053715)	(8, 0.016876366560282016)	(9, 0.020376570218285622)	(10, 0.025206851266330606)	(11, 0.02817933191128136)	(12, 0.039816162841967206)	(13, 0.045578036555911604)	(14, 0.05226611800705081)	(15, 0.06410757622851225)	(16, 0.09550709550515693)	(17, 0.09815648042783043)	(18, 0.10008966983278934)	(19, 0.10442453744000921)	(20, 0.10546382868000104)	(21, 0.10669159242465462)	(22, 0.10755856594609858)	(23, 0.10833938060826863)	(24, 0.10873248040370595)	(25, 0.10929789791769115)	(26, 0.10955637449551295)	(27, 0.10988485514649483)	(28, 0.11008948243727043)	(29, 0.1102618001558183)	(30, 0.11038565351602458)	(31, 0.1105472013771632)	(32, 0.11063874516514176)	(33, 0.11067643966607411)
31136-052_deduped - polya	(1, 0.0068100711370106745)	(2, 0.007819604295512258)	(3, 0.009068687695014215)	(4, 0.01216573009651907)	(5, 0.01622952882777544)	(6, 0.018727695626779357)	(7, 0.02777071722454353)	(8, 0.04680640601832337)	(9, 0.06345514776784947)	(10, 0.08809460112788808)	(11, 0.11867147831843602)	(12, 0.14585187530622862)	(13, 0.1772158461457778)	(14, 0.20161574926481604)	(15, 0.22701663017660584)	(16, 0.3615754226928168)	(17, 0.37209852256533327)	(18, 0.3805512239263465)	(19, 0.3885761569998591)	(20, 0.39364948888961704)	(21, 0.4001857883226273)	(22, 0.4031288341406319)	(23, 0.40785995140038933)	(24, 0.4090234811423911)	(25, 0.41112810111689446)	(26, 0.41194941622889575)	(27, 0.412762175975147)	(28, 0.4129503940216473)	(29, 0.4136519340131484)	(30, 0.41399414864314893)	(31, 0.4143106971758994)	(32, 0.41438769546764953)	(33, 0.4143962508333996)
31136-054_deduped - polya	(1, 0.003332624116946809)	(2, 0.0038757680877168125)	(3, 0.0046871313033115085)	(4, 0.006115398782002998)	(5, 0.007952700609052146)	(6, 0.009414495493346721)	(7, 0.015234853106042558)	(8, 0.02635254080402608)	(9, 0.035210481364361564)	(10, 0.05004300560316708)	(11, 0.0623609744217411)	(12, 0.07518185432436142)	(13, 0.08666163800285828)	(14, 0.09676009257050797)	(15, 0.10859526674839753)	(16, 0.16767055542103615)	(17, 0.17249179634676)	(18, 0.17536174226638424)	(19, 0.1779835853845456)	(20, 0.18090046967201412)	(21, 0.18612403946497502)	(22, 0.18794793032978294)	(23, 0.19035519805208456)	(24, 0.19116656126767925)	(25, 0.19258812326525013)	(26, 0.19287645895343666)	(27, 0.1932787878206737)	(28, 0.19341289744308607)	(29, 0.19378169890472)	(30, 0.19407674007402717)	(31, 0.19449918538462607)	(32, 0.19453271279022916)	(33, 0.19456624019583224)
31136-056_deduped - polya	(1, 0.0027594120897069044)	(2, 0.0033305622229878847)	(3, 0.0040806268558508585)	(4, 0.00549129887178581)	(5, 0.007755255424188731)	(6, 0.00953751909310167)	(7, 0.015255901752818471)	(8, 0.023740577829149175)	(9, 0.030456752890380943)	(10, 0.03883820906310665)	(11, 0.04936663923081629)	(12, 0.058993615573708955)	(13, 0.07345128340531545)	(14, 0.08593401041461302)	(15, 0.0980933150592816)	(16, 0.13672508431517827)	(17, 0.14082635515175013)	(18, 0.14359952989527103)	(19, 0.14558823337139395)	(20, 0.1474255476555629)	(21, 0.1504395688408288)	(22, 0.15212549393304373)	(23, 0.15411419740916665)	(24, 0.15485738071512264)	(25, 0.1558207664821026)	(26, 0.1561579515005456)	(27, 0.15648825519208157)	(28, 0.15661900040331456)	(29, 0.15693554144103655)	(30, 0.15703188001773455)	(31, 0.15722455717113054)	(32, 0.15727960778638655)	(33, 0.15730025176710755)
31136-057_deduped - polya	(1, 0.001829175019523545)	(2, 0.0022220612032944472)	(3, 0.0027373217721743193)	(4, 0.003838691238155045)	(5, 0.005397354459016657)	(6, 0.006801439509214308)	(7, 0.012617443180445862)	(8, 0.02166670692139861)	(9, 0.029453582268595672)	(10, 0.038940817493096316)	(11, 0.048093133347825036)	(12, 0.05826952958320251)	(13, 0.06648793565683646)	(14, 0.0731992045664968)	(15, 0.08028403738859503)	(16, 0.1105298327818435)	(17, 0.11323495076846284)	(18, 0.11490310686021142)	(19, 0.11639736250996305)	(20, 0.11783365134571569)	(21, 0.12023605374811809)	(22, 0.12150488289898477)	(23, 0.12294117173473741)	(24, 0.12369474031672423)	(25, 0.12448695344137703)	(26, 0.12466085388337399)	(27, 0.12489916189648093)	(28, 0.1250472993100339)	(29, 0.12518255520936486)	(30, 0.12527916656602983)	(31, 0.12549815230780378)	(32, 0.12552391533624777)	(33, 0.12554967836469177)
31136-058_deduped - polya	(1, 0.0026949365981256785)	(2, 0.0031278020620733264)	(3, 0.0038399355672775214)	(4, 0.004726611598267058)	(5, 0.006046153093204242)	(6, 0.0072888958767958765)	(7, 0.011973617268874453)	(8, 0.0196046164962096)	(9, 0.026244214177084006)	(10, 0.033868231703387736)	(11, 0.038985818559413965)	(12, 0.047084591755853826)	(13, 0.05322150696246644)	(14, 0.060252079901100014)	(15, 0.06930734613884355)	(16, 0.09703168093458725)	(17, 0.09999192217190665)	(18, 0.10196076186276531)	(19, 0.10422283299694333)	(20, 0.10589844124448262)	(21, 0.10989197423445124)	(22, 0.11167928969849315)	(23, 0.11406703145123662)	(24, 0.11529581083276542)	(25, 0.11673404124523665)	(26, 0.11698538248236753)	(27, 0.11738333944115811)	(28, 0.11750202835869215)	(29, 0.11780224150304294)	(30, 0.11787904021438848)	(31, 0.11824208866802201)	(32, 0.11833285078143038)	(33, 0.11836775928658745)
31136-061_deduped - polya	(1, 0.0022836783838458825)	(2, 0.002653416788849502)	(3, 0.0031971497373842355)	(4, 0.003907627456802954)	(5, 0.004893596536812606)	(6, 0.0057998181177038284)	(7, 0.008532982405671758)	(8, 0.01320908576307047)	(9, 0.01718921094634472)	(10, 0.024011247007293852)	(11, 0.02846985718527867)	(12, 0.037437825949778215)	(13, 0.042548915666004716)	(14, 0.048181989012824555)	(15, 0.055743501883780924)	(16, 0.08415536088788256)	(17, 0.08662028358790669)	(18, 0.0885704724299846)	(19, 0.09026691922941296)	(20, 0.09226785648002078)	(21, 0.09648722416065032)	(22, 0.09800967641654758)	(23, 0.09972787253391734)	(24, 0.10064859366010281)	(25, 0.10156206501364118)	(26, 0.10172156001187803)	(27, 0.10207679887158738)	(28, 0.10216379614335294)	(29, 0.10242478795864962)	(30, 0.10251903500306231)	(31, 0.10275102772777046)	(32, 0.10278002681835897)	(33, 0.10279452636365323)
31136-062_deduped - polya	(1, 0.003299817412525947)	(2, 0.003932161277921889)	(3, 0.004797091392658865)	(4, 0.006272560411916062)	(5, 0.007842517594968054)	(6, 0.009121741966343752)	(7, 0.013490002461780082)	(8, 0.021892180719225007)	(9, 0.029516648705435838)	(10, 0.04099332644635758)	(11, 0.05293517668596139)	(12, 0.06451361091096984)	(13, 0.0753216031850361)	(14, 0.08496666421239718)	(15, 0.09779524952761369)	(16, 0.14575162681361853)	(17, 0.1500690090670115)	(18, 0.15353599784625133)	(19, 0.15619620307308943)	(20, 0.15896543310430614)	(21, 0.16352993824762396)	(22, 0.1649327240639621)	(23, 0.16742575792408632)	(24, 0.1680944433909418)	(25, 0.1691628864738522)	(26, 0.16975162041749667)	(27, 0.17018771963501111)	(28, 0.1704784524466874)	(29, 0.170667428774277)	(30, 0.17084913678157468)	(31, 0.17111079631208337)	(32, 0.1711689428744186)	(33, 0.1712488943976296)
31136-066_deduped - polya	(1, 0.004588338089143022)	(2, 0.005155713229198342)	(3, 0.006348023306126188)	(4, 0.007877469335840529)	(5, 0.010533442817548765)	(6, 0.012950954283871432)	(7, 0.022045402180990038)	(8, 0.035687074026667945)	(9, 0.04651653865641949)	(10, 0.061967232687781024)	(11, 0.07544444797112405)	(12, 0.09157763673617533)	(13, 0.10789995054791171)	(14, 0.12412359042224716)	(15, 0.14306076357510805)	(16, 0.20336698498330683)	(17, 0.20904895921197678)	(18, 0.2141059985037742)	(19, 0.2183325321557805)	(20, 0.22099672846560547)	(21, 0.22546172413299734)	(22, 0.22697472450647818)	(23, 0.23009939919084083)	(24, 0.2311436983616673)	(25, 0.23238534540729558)	(26, 0.23288693792241696)	(27, 0.23339675326565507)	(28, 0.23361876962480715)	(29, 0.23376678053090855)	(30, 0.23406280234311133)	(31, 0.23431771001473037)	(32, 0.23437526981154758)	(33, 0.23440816112401455)
