Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
31136-037_deduped	24.540653519238397	42.19015900943425
31136-038_deduped	27.509698530142916	38.35359925834807
31136-039_deduped	27.33690388205168	40.8288359612041
31136-040_deduped	22.780615249536904	35.23874401938072
31136-041_deduped	20.21687229440864	29.98464841251709
31136-042_deduped	20.676825669758326	32.432210572843445
31136-043_deduped	23.909565936114806	40.16977658023244
31136-044_deduped	25.55904035355286	41.74796391248566
31136-045_deduped	24.728386440131914	40.510815592676366
31136-046_deduped	21.996510419706546	38.30676781964117
31136-047_deduped	23.074718945856354	38.827403675451436
31136-048_deduped	26.181564062171574	42.77731825584023
31136-049_deduped	21.535533086857058	40.618805319416005
31136-050_deduped	27.253078872980424	42.92163611866749
31136-051_deduped	26.27674505615081	40.9195616581876
31136-052_deduped	8.05645104093563	45.83793006005611
31136-053_deduped	8.609084624503799	55.57652254311724
31136-054_deduped	12.36498094671067	47.03346497757383
31136-055_deduped	17.989243397010757	49.22302630327698
31136-056_deduped	8.954705110713325	38.703245598479626
31136-057_deduped	8.63013147195453	38.866568445120706
31136-058_deduped	6.41298562879678	38.01903449078999
31136-059_deduped	9.281389711167149	53.457815275260245
31136-060_deduped	10.907843149968704	53.2662707560302
31136-061_deduped	9.076969096249142	47.87818729004656
31136-062_deduped	7.288533490639167	43.978774469617946
31136-063_deduped	11.96832513427187	47.23338414587012
31136-064_deduped	8.29651756833306	49.33342840580019
31136-065_deduped	7.2177076491753684	43.75322277530326
31136-066_deduped	5.626651041100491	47.66583511946865
31136-067_deduped	9.487901637900983	46.567280111168344
31136-068_deduped	12.105162833660241	40.782902243353675
