Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43
31136-037_deduped	(1, 33.851378572690145)	(2, 33.89739069688442)	(3, 33.8899954236612)	(4, 33.81207374733305)	(5, 33.8780642143284)	(6, 33.8513659327408)	(7, 33.90591002274627)	(8, 33.90260693312508)	(9, 33.891942427287844)	(10, 33.93014125707682)	(11, 33.85101156273224)	(12, 33.92088429988505)	(13, 33.851625503129235)	(14, 33.87534346523083)	(15, 33.93099084224384)	(16, 33.90450565567668)	(17, 33.907569733991544)	(18, 33.926782485617366)	(19, 33.94017175509652)	(20, 33.938347815789626)	(21, 33.936574645718245)	(22, 33.87271720382899)	(23, 33.82825074068454)	(24, 33.77292861088524)	(25, 33.84121683861459)	(26, 33.93460032470633)	(27, 33.93588386553511)	(28, 33.94629939127202)	(29, 33.928698994474146)	(30, 33.951578688725995)	(31, 33.90674844926894)	(32, 33.90896126331899)	(33, 33.926406228268)	(34, 33.93285222974344)	(35, 33.92642735078332)	(36, 33.876381398876)	(37, 33.939944596669775)	(38, 33.925940344857246)	(39, 33.92698070226238)	(40, 33.91352832319931)	(41, 33.960183168997276)	(42, 33.94901305260163)	(43, 33.944711480976636)	(44, 33.950961101861665)
31136-038_deduped	(1, 33.853511613342505)	(2, 33.89454850823511)	(3, 33.88103559297466)	(4, 33.83005171400118)	(5, 33.85313317448279)	(6, 33.847384875768206)	(7, 33.90473049953791)	(8, 33.914314491243154)	(9, 33.899999462131355)	(10, 33.92249726617919)	(11, 33.85273818581872)	(12, 33.91931639378108)	(13, 33.86031634123545)	(14, 33.87292398219738)	(15, 33.92799235288707)	(16, 33.901651535260314)	(17, 33.90970928980026)	(18, 33.91429223774856)	(19, 33.941629985384346)	(20, 33.946058619318165)	(21, 33.941911321944275)	(22, 33.88495968396553)	(23, 33.82376321703857)	(24, 33.81111612398253)	(25, 33.792588203170844)	(26, 33.91316142006472)	(27, 33.92063450180526)	(28, 33.9334132532967)	(29, 33.9059061166287)	(30, 33.93911309112289)	(31, 33.89468044393418)	(32, 33.89000250216596)	(33, 33.92636294902112)	(34, 33.93874029136839)	(35, 33.915984360807236)	(36, 33.86571861522322)	(37, 33.934698736276)	(38, 33.91237649077083)	(39, 33.91235588623309)	(40, 33.851760536250865)	(41, 33.940058808581696)	(42, 33.91367024550366)	(43, 33.93236303289901)	(44, 33.92842673869007)
31136-039_deduped	(1, 33.85809111100317)	(2, 33.89880732860049)	(3, 33.88565983915111)	(4, 33.825709437129944)	(5, 33.86723518468324)	(6, 33.84961102311542)	(7, 33.906233410388104)	(8, 33.91326947186791)	(9, 33.89592498339887)	(10, 33.92737631614761)	(11, 33.86366840140486)	(12, 33.92012621913303)	(13, 33.85468271402052)	(14, 33.870995551211955)	(15, 33.92920846032527)	(16, 33.90749153346156)	(17, 33.907843343826215)	(18, 33.92724612561948)	(19, 33.939373220444246)	(20, 33.9460924355469)	(21, 33.944685435299995)	(22, 33.859070030635934)	(23, 33.84458822718447)	(24, 33.83279894491316)	(25, 33.837957878606645)	(26, 33.93323553922263)	(27, 33.932370999829004)	(28, 33.942697856560486)	(29, 33.9311185277167)	(30, 33.95111358306983)	(31, 33.91651484553214)	(32, 33.89816832082627)	(33, 33.92748963740944)	(34, 33.94239841629124)	(35, 33.926306246976516)	(36, 33.901569199784376)	(37, 33.94593404311313)	(38, 33.93525835476128)	(39, 33.93196907069383)	(40, 33.9182057678148)	(41, 33.96707639545505)	(42, 33.9612062735795)	(43, 33.96371756478388)	(44, 33.96229642158074)
31136-040_deduped	(1, 33.84964720064781)	(2, 33.890365325976134)	(3, 33.87585728474232)	(4, 33.816842198391136)	(5, 33.85362171607393)	(6, 33.83778638482953)	(7, 33.89695418740422)	(8, 33.897348307743094)	(9, 33.881296231943494)	(10, 33.909364002904205)	(11, 33.83116031774925)	(12, 33.91124159046809)	(13, 33.8424725665097)	(14, 33.86513124131575)	(15, 33.919997464824164)	(16, 33.90036483917027)	(17, 33.89617843367939)	(18, 33.91704732161342)	(19, 33.92978946350086)	(20, 33.93063173457009)	(21, 33.92264592191296)	(22, 33.847565509711764)	(23, 33.829112834720426)	(24, 33.81126954224805)	(25, 33.81494080933235)	(26, 33.914875607422545)	(27, 33.91749494115084)	(28, 33.93077049032035)	(29, 33.90967537038513)	(30, 33.93712883509643)	(31, 33.89373835496731)	(32, 33.89116815115415)	(33, 33.91112826445618)	(34, 33.92417923856453)	(35, 33.9055193222314)	(36, 33.87531239495491)	(37, 33.931199364945954)	(38, 33.911997799945)	(39, 33.90252253940155)	(40, 33.87332929725702)	(41, 33.95209158470402)	(42, 33.944687274307995)	(43, 33.951206799997784)	(44, 33.946625011583116)
31136-041_deduped	(1, 33.845457212009514)	(2, 33.88269196229695)	(3, 33.86258540094949)	(4, 33.78340238286005)	(5, 33.82998912986711)	(6, 33.82703021183616)	(7, 33.89233670106347)	(8, 33.885376666258665)	(9, 33.85622104062618)	(10, 33.891584465170816)	(11, 33.80958612087722)	(12, 33.90201108459423)	(13, 33.82407222020409)	(14, 33.859887727403425)	(15, 33.91133806854402)	(16, 33.887541022153606)	(17, 33.88292564289424)	(18, 33.90657572013337)	(19, 33.920612482511345)	(20, 33.923779678158105)	(21, 33.912668013380575)	(22, 33.85780692109418)	(23, 33.811275171445324)	(24, 33.793459546690904)	(25, 33.80529577968543)	(26, 33.89923556438594)	(27, 33.909509234917856)	(28, 33.92114932178853)	(29, 33.88352537765284)	(30, 33.925185657675996)	(31, 33.89431583911849)	(32, 33.874523811474404)	(33, 33.90306013827208)	(34, 33.92061321922336)	(35, 33.89980170393535)	(36, 33.860306388404496)	(37, 33.92565357158783)	(38, 33.90260501193902)	(39, 33.89970679697912)	(40, 33.85263102492866)	(41, 33.94485367402662)	(42, 33.935940868493994)	(43, 33.94531050345004)	(44, 33.95188932479868)
31136-042_deduped	(1, 33.84938591825682)	(2, 33.88827282375599)	(3, 33.869516919123846)	(4, 33.805028742959976)	(5, 33.839639298317195)	(6, 33.83100839581011)	(7, 33.89683621005797)	(8, 33.90245025537155)	(9, 33.881863641552094)	(10, 33.90134425250089)	(11, 33.80816606072087)	(12, 33.90976434901506)	(13, 33.84056703897725)	(14, 33.865061335315104)	(15, 33.91765791627505)	(16, 33.89870546248337)	(17, 33.88625062966968)	(18, 33.91402119813981)	(19, 33.925328969140445)	(20, 33.92839553979625)	(21, 33.92329689306829)	(22, 33.87490000369084)	(23, 33.817205209584095)	(24, 33.81105388624186)	(25, 33.809336788657866)	(26, 33.91186830438445)	(27, 33.91808641724113)	(28, 33.923992843136055)	(29, 33.8986146322799)	(30, 33.929120471253086)	(31, 33.90318868279482)	(32, 33.87804647764172)	(33, 33.89863224363306)	(34, 33.917071840718656)	(35, 33.905694287561765)	(36, 33.880466991658125)	(37, 33.931969224400824)	(38, 33.912261343116334)	(39, 33.90266856044782)	(40, 33.87379995977008)	(41, 33.951849711548824)	(42, 33.94534086396018)	(43, 33.95102857241391)	(44, 33.94948040655158)
31136-043_deduped	(1, 33.85116476334226)	(2, 33.89315206930367)	(3, 33.880448914547266)	(4, 33.807444084283695)	(5, 33.85164531531285)	(6, 33.847358548637544)	(7, 33.90413400584563)	(8, 33.907939352344435)	(9, 33.90294412964745)	(10, 33.91927334638247)	(11, 33.84479039555895)	(12, 33.91780390788162)	(13, 33.85915616463094)	(14, 33.85145344180698)	(15, 33.924172198223566)	(16, 33.90816834092785)	(17, 33.9102867357295)	(18, 33.91953376856717)	(19, 33.9330098953894)	(20, 33.93953005464278)	(21, 33.9333197526338)	(22, 33.84893352026889)	(23, 33.83447320353985)	(24, 33.80723171032261)	(25, 33.801091152325384)	(26, 33.91563355566689)	(27, 33.92105039388534)	(28, 33.932086871691226)	(29, 33.92036141020981)	(30, 33.93958994329609)	(31, 33.912618685750715)	(32, 33.87912077462567)	(33, 33.92802618969028)	(34, 33.939120939286646)	(35, 33.91843558454896)	(36, 33.89777835408022)	(37, 33.940446713100805)	(38, 33.924273993512685)	(39, 33.91695833065498)	(40, 33.89175708225865)	(41, 33.95881534436239)	(42, 33.94251556950206)	(43, 33.95564438140674)	(44, 33.96259138415368)
31136-044_deduped	(1, 33.85048528369039)	(2, 33.8964865268124)	(3, 33.88393812929146)	(4, 33.84035021981178)	(5, 33.85679619803606)	(6, 33.851069087534384)	(7, 33.90715071174854)	(8, 33.9162645094915)	(9, 33.909425515665184)	(10, 33.92710263776742)	(11, 33.84815788014106)	(12, 33.9213822975155)	(13, 33.85779663263401)	(14, 33.86662607988738)	(15, 33.930173727212576)	(16, 33.91020946869321)	(17, 33.905043748688776)	(18, 33.927873504527724)	(19, 33.938517466288786)	(20, 33.94723046572122)	(21, 33.94257505591147)	(22, 33.88998552483444)	(23, 33.83073927740521)	(24, 33.81673880242181)	(25, 33.81922800515637)	(26, 33.92785427326261)	(27, 33.92718308595392)	(28, 33.93680050848352)	(29, 33.92858131773895)	(30, 33.9465883766677)	(31, 33.9123000862872)	(32, 33.888702558106225)	(33, 33.9240253729363)	(34, 33.94099652553709)	(35, 33.925880834352746)	(36, 33.901330128413726)	(37, 33.94465772975177)	(38, 33.93134033925549)	(39, 33.9234556554848)	(40, 33.91257903324495)	(41, 33.96583430227193)	(42, 33.955298114000875)	(43, 33.960610090834486)	(44, 33.965054454173504)
31136-045_deduped	(1, 33.8474742554963)	(2, 33.892033202038114)	(3, 33.88222977478324)	(4, 33.85846136942019)	(5, 33.855866209553994)	(6, 33.84657171592754)	(7, 33.90418449446488)	(8, 33.91099341821729)	(9, 33.89642999842429)	(10, 33.923422415126744)	(11, 33.842575984486416)	(12, 33.91980824046454)	(13, 33.85735342033736)	(14, 33.86850348482548)	(15, 33.926812245878345)	(16, 33.913703501364836)	(17, 33.891043613136716)	(18, 33.9217464559282)	(19, 33.93499977853848)	(20, 33.93964948689527)	(21, 33.93584875898716)	(22, 33.86396726783463)	(23, 33.82430843694269)	(24, 33.8017976200189)	(25, 33.81576552663797)	(26, 33.91370281604896)	(27, 33.90984688029937)	(28, 33.926579519329934)	(29, 33.91850615966845)	(30, 33.937312163049405)	(31, 33.8986709490608)	(32, 33.861661424884545)	(33, 33.91457062841888)	(34, 33.93011918708344)	(35, 33.91796735728717)	(36, 33.89562059244854)	(37, 33.92852831892924)	(38, 33.915623195858785)	(39, 33.90104889268348)	(40, 33.88808817295464)	(41, 33.95817881631114)	(42, 33.952576528655094)	(43, 33.96160507336912)	(44, 33.96739766081871)
31136-046_deduped	(1, 33.85656631527971)	(2, 33.89479811703408)	(3, 33.87870154234076)	(4, 33.82247883589047)	(5, 33.855448926849455)	(6, 33.85180291217576)	(7, 33.90437532459242)	(8, 33.9073699255855)	(9, 33.89274592619792)	(10, 33.91565999676909)	(11, 33.83767531854188)	(12, 33.9196369486119)	(13, 33.847762720902644)	(14, 33.86644593094088)	(15, 33.92672784804183)	(16, 33.90908613826126)	(17, 33.90063597236818)	(18, 33.92425766752926)	(19, 33.932871925410474)	(20, 33.94465497671731)	(21, 33.93485070597322)	(22, 33.86311865302049)	(23, 33.84948000099209)	(24, 33.842919283087085)	(25, 33.839050812483876)	(26, 33.9319029316258)	(27, 33.93440825555897)	(28, 33.942754924086174)	(29, 33.92931040065625)	(30, 33.94814181801339)	(31, 33.92027701692243)	(32, 33.90028218813247)	(33, 33.927609023906584)	(34, 33.94362111512062)	(35, 33.927102668063085)	(36, 33.893234343767006)	(37, 33.94411248016826)	(38, 33.93136884909922)	(39, 33.927161232425966)	(40, 33.90301341159899)	(41, 33.96052385017385)	(42, 33.95123439069901)	(43, 33.9626695412695)	(44, 33.96496736346361)
