Sample	0	1	2	3	4	5	6	7
31136-037_deduped	(28.0, 1.0)	(29.0, 51.0)	(30.0, 1337.0)	(31.0, 20054.0)	(32.0, 257450.0)	(33.0, 3664505.0)	(34.0, 13778192.0)	
31136-038_deduped	(28.0, 2.0)	(29.0, 46.0)	(30.0, 1116.0)	(31.0, 16341.0)	(32.0, 209914.0)	(33.0, 2981346.0)	(34.0, 11292917.0)	
31136-039_deduped	(29.0, 46.0)	(30.0, 1249.0)	(31.0, 18766.0)	(32.0, 241053.0)	(33.0, 3424732.0)	(34.0, 13133791.0)		
31136-040_deduped	(28.0, 2.0)	(29.0, 55.0)	(30.0, 1567.0)	(31.0, 22233.0)	(32.0, 284011.0)	(33.0, 4282561.0)	(34.0, 13901385.0)	
31136-041_deduped	(29.0, 29.0)	(30.0, 716.0)	(31.0, 10663.0)	(32.0, 144846.0)	(33.0, 2203110.0)	(34.0, 6276225.0)		
31136-042_deduped	(28.0, 1.0)	(29.0, 44.0)	(30.0, 1421.0)	(31.0, 19388.0)	(32.0, 253734.0)	(33.0, 3907567.0)	(34.0, 12287965.0)	
31136-043_deduped	(28.0, 1.0)	(29.0, 59.0)	(30.0, 1444.0)	(31.0, 21063.0)	(32.0, 270044.0)	(33.0, 4047794.0)	(34.0, 14088403.0)	
31136-044_deduped	(29.0, 30.0)	(30.0, 1122.0)	(31.0, 15856.0)	(32.0, 214501.0)	(33.0, 3119108.0)	(34.0, 12010707.0)		
31136-045_deduped	(29.0, 56.0)	(30.0, 1102.0)	(31.0, 15795.0)	(32.0, 200384.0)	(33.0, 2950053.0)	(34.0, 10775489.0)		
31136-046_deduped	(27.0, 1.0)	(28.0, 1.0)	(29.0, 48.0)	(30.0, 1327.0)	(31.0, 19111.0)	(32.0, 240715.0)	(33.0, 3640979.0)	(34.0, 12922764.0)
31136-047_deduped	(29.0, 44.0)	(30.0, 1219.0)	(31.0, 17249.0)	(32.0, 227155.0)	(33.0, 3288656.0)	(34.0, 11817968.0)		
31136-048_deduped	(28.0, 1.0)	(29.0, 40.0)	(30.0, 1069.0)	(31.0, 15477.0)	(32.0, 203831.0)	(33.0, 2951049.0)	(34.0, 11948111.0)	
31136-049_deduped	(28.0, 1.0)	(29.0, 52.0)	(30.0, 1362.0)	(31.0, 19775.0)	(32.0, 247234.0)	(33.0, 3710278.0)	(34.0, 13000079.0)	
