Sample	Unique Reads	Duplicate Reads
31136-037_deduped	655882	17065708
31136-038_deduped	814187	13687495
31136-039_deduped	797809	16021828
31136-040_deduped	1565244	16926570
31136-041_deduped	1032213	7603376
31136-042_deduped	1659562	14810558
31136-043_deduped	922132	17506676
31136-044_deduped	725885	14635439
31136-045_deduped	758862	13184017
31136-046_deduped	1278725	15546221
31136-047_deduped	1002663	14349628
31136-048_deduped	607976	14511602
31136-049_deduped	1048717	15930064
31136-050_deduped	616672	16425197
31136-051_deduped	879431	17690917
31136-052_deduped	616542	11072029
31136-053_deduped	530507	14815840
31136-054_deduped	630034	14283139
31136-055_deduped	373096	14349024
31136-056_deduped	1016873	13515208
31136-057_deduped	1200540	14325585
31136-058_deduped	1209769	13113388
31136-059_deduped	774821	16792225
31136-060_deduped	548346	11943867
31136-061_deduped	646589	13146947
31136-062_deduped	712878	13045459
31136-063_deduped	863198	15307352
31136-064_deduped	323800	5720712
31136-065_deduped	970186	13086022
31136-066_deduped	572430	11588836
31136-067_deduped	583285	12865147
31136-068_deduped	174897	2411454
