Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
31136-037_deduped	(1.0, 2.477351937778837)	(2.0, 1.0709226965719454)	(3.0, 0.6156248935828043)	(4.0, 0.43839099931060643)	(5.0, 0.3281367297839348)	(6.0, 0.2679940909574496)	(7.0, 0.21800134669857826)	(8.0, 0.19660995235199263)	(9.0, 0.17883302789474)	('>10', 2.8193195366644224)	('>50', 1.3746436935831021)	('>100', 4.04524475186048)	('>500', 2.1720184178794266)	('>1k', 7.290004093883207)	('>5k', 4.292114960081456)	('>10k+', 72.21478887111702)
31136-038_deduped	(1.0, 3.923630095272599)	(2.0, 1.587068017881235)	(3.0, 0.8888937695987571)	(4.0, 0.5666772091536774)	(5.0, 0.4256357757406928)	(6.0, 0.3408341804920446)	(7.0, 0.29162565876196855)	(8.0, 0.24661503369212073)	(9.0, 0.21438431419369552)	('>10', 3.4417553432983556)	('>50', 1.4199599316262308)	('>100', 3.824416895344704)	('>500', 2.022842056812202)	('>1k', 7.125012672898307)	('>5k', 3.91003006674059)	('>10k+', 69.77061897849282)
31136-039_deduped	(1.0, 3.3119907287018755)	(2.0, 1.3392533623260354)	(3.0, 0.7426107832602333)	(4.0, 0.4863573759617935)	(5.0, 0.3555176457626669)	(6.0, 0.2812878425219344)	(7.0, 0.23998582740885283)	(8.0, 0.20886320227097346)	(9.0, 0.19610934398915503)	('>10', 2.97684775239823)	('>50', 1.3229173643032466)	('>100', 3.6867528176828492)	('>500', 1.915307521674619)	('>1k', 6.8621008408476545)	('>5k', 3.435570621642686)	('>10k+', 72.63852696924718)
31136-040_deduped	(1.0, 6.051083371276635)	(2.0, 2.3761194121245186)	(3.0, 1.2834512198682595)	(4.0, 0.800126484661961)	(5.0, 0.5592406496523727)	(6.0, 0.4311999170776345)	(7.0, 0.36094458288468223)	(8.0, 0.3041991655404323)	(9.0, 0.277291811991518)	('>10', 4.672872439404227)	('>50', 1.9853637850880097)	('>100', 4.606396425902456)	('>500', 2.174310468520537)	('>1k', 6.341957746201757)	('>5k', 3.5921502535124548)	('>10k+', 64.18329226629254)
31136-041_deduped	(1.0, 8.734575317661953)	(2.0, 3.0093402073867264)	(3.0, 1.5355161747803734)	(4.0, 1.083664931575704)	(5.0, 0.814480446508852)	(6.0, 0.7123136167627468)	(7.0, 0.5847426045293309)	(8.0, 0.5177466258551275)	(9.0, 0.4639533800635155)	('>10', 7.226972189732686)	('>50', 2.754608756420064)	('>100', 5.881196739924329)	('>500', 2.7135465420499196)	('>1k', 8.376768273819401)	('>5k', 4.648204389233747)	('>10k+', 50.94236980369553)
31136-042_deduped	(1.0, 7.208538189153532)	(2.0, 2.8449734420477117)	(3.0, 1.4744789317961144)	(4.0, 0.914597448596563)	(5.0, 0.6654196645823616)	(6.0, 0.4901305917319986)	(7.0, 0.45741192117593876)	(8.0, 0.4037593916957272)	(9.0, 0.36354586327509103)	('>10', 5.673303920501982)	('>50', 2.429778255007788)	('>100', 5.435520541987386)	('>500', 2.3265218719125054)	('>1k', 6.881270266307681)	('>5k', 3.5012806002253307)	('>10k+', 58.92946910000229)
31136-043_deduped	(1.0, 3.400409878878736)	(2.0, 1.3969614706649738)	(3.0, 0.8113905494008392)	(4.0, 0.5392155527181112)	(5.0, 0.42060988075600153)	(6.0, 0.3542751387491753)	(7.0, 0.3062005418034539)	(8.0, 0.272148788476121)	(9.0, 0.23997692051754443)	('>10', 3.9707347694323025)	('>50', 1.72645132337633)	('>100', 4.191904531833138)	('>500', 2.1347404583578116)	('>1k', 6.695705701816782)	('>5k', 3.8745757778770056)	('>10k+', 69.66469871534167)
31136-044_deduped	(1.0, 3.3261133485505003)	(2.0, 1.2864227982602725)	(3.0, 0.7219057225782508)	(4.0, 0.46882091489708577)	(5.0, 0.3486135536787814)	(6.0, 0.2756737307708665)	(7.0, 0.23507554782775994)	(8.0, 0.20987278444605403)	(9.0, 0.18566063109871153)	('>10', 3.1137294685199475)	('>50', 1.3893084034701568)	('>100', 3.9769339311778027)	('>500', 1.969049929244016)	('>1k', 6.939321254057558)	('>5k', 4.050375054564811)	('>10k+', 71.50312292685742)
31136-045_deduped	(1.0, 3.8356282226394964)	(2.0, 1.503796284149514)	(3.0, 0.8000260769169314)	(4.0, 0.5178185027593297)	(5.0, 0.38187087513942664)	(6.0, 0.3205828803748729)	(7.0, 0.2737923650567392)	(8.0, 0.2469865555507599)	(9.0, 0.2168533185941551)	('>10', 3.6872765710719833)	('>50', 1.6478048008944115)	('>100', 4.294124255359211)	('>500', 2.1505564971879343)	('>1k', 7.1439394586422065)	('>5k', 4.108591797711737)	('>10k+', 68.8703515379513)
31136-046_deduped	(1.0, 5.450819881536569)	(2.0, 2.1275458335890334)	(3.0, 1.1196451440240665)	(4.0, 0.6804079628492047)	(5.0, 0.5043509074891463)	(6.0, 0.3957978836740289)	(7.0, 0.3403722438855722)	(8.0, 0.2945471395745609)	(9.0, 0.2621296757592378)	('>10', 4.107055063110839)	('>50', 1.6693224963197881)	('>100', 4.251279369248449)	('>500', 2.109456090045428)	('>1k', 6.551229678953774)	('>5k', 3.8931878839992002)	('>10k+', 66.24285274594108)
31136-047_deduped	(1.0, 4.633203426308627)	(2.0, 1.8176787095605245)	(3.0, 0.9802786750398883)	(4.0, 0.6252178897530207)	(5.0, 0.4468716252658458)	(6.0, 0.36124980771321535)	(7.0, 0.3136667502260412)	(8.0, 0.26710526137229607)	(9.0, 0.24278145323067762)	('>10', 3.9291120231649184)	('>50', 1.7378429909848434)	('>100', 4.590236647015824)	('>500', 2.2270427919998372)	('>1k', 7.079526419604042)	('>5k', 4.401000143815225)	('>10k+', 66.34718538494518)
31136-048_deduped	(1.0, 2.7472517480406853)	(2.0, 1.1190816353158475)	(3.0, 0.6452932071488527)	(4.0, 0.4398511261379904)	(5.0, 0.3228860053265629)	(6.0, 0.26535782864307816)	(7.0, 0.22232688732087294)	(8.0, 0.20991856693254532)	(9.0, 0.18413962637003226)	('>10', 3.1195713528179088)	('>50', 1.4966057052962536)	('>100', 3.9077111490437146)	('>500', 2.0439392989687413)	('>1k', 6.668815666067854)	('>5k', 3.9884571511700178)	('>10k+', 72.61879304539903)
31136-049_deduped	(1.0, 4.299052209762473)	(2.0, 1.782559604168447)	(3.0, 0.9857312291098945)	(4.0, 0.6121608952866594)	(5.0, 0.45607784608570145)	(6.0, 0.35651708229732626)	(7.0, 0.30886930045822686)	(8.0, 0.2738336539621724)	(9.0, 0.23631325329860658)	('>10', 3.8928715948507575)	('>50', 1.7499504520155034)	('>100', 4.49051715449057)	('>500', 2.2722822794910162)	('>1k', 7.015106929643525)	('>5k', 4.108301524522821)	('>10k+', 67.15985499055628)
31136-050_deduped	(1.0, 2.3767028852782484)	(2.0, 1.0646296951262533)	(3.0, 0.6394115509885955)	(4.0, 0.4492451269294843)	(5.0, 0.33703736291416286)	(6.0, 0.27775243648406633)	(7.0, 0.2368784748870662)	(8.0, 0.2124881507979134)	(9.0, 0.1775383614771623)	('>10', 2.946737834445596)	('>50', 1.2536252209512773)	('>100', 3.62586596608891)	('>500', 1.775279353733432)	('>1k', 6.4141897936202685)	('>5k', 3.7078556783573835)	('>10k+', 74.50476210792019)
31136-051_deduped	(1.0, 3.3165767381409648)	(2.0, 1.3726778056192495)	(3.0, 0.7581561348338235)	(4.0, 0.47575789825249626)	(5.0, 0.3274981294208284)	(6.0, 0.267157603289652)	(7.0, 0.22495034349168733)	(8.0, 0.1816686112097069)	(9.0, 0.17928452052649768)	('>10', 2.694006348994616)	('>50', 1.249043184946682)	('>100', 3.4985389564692175)	('>500', 1.9055305991941724)	('>1k', 6.415461590028968)	('>5k', 4.005917888888141)	('>10k+', 73.1277736466933)
31136-052_deduped	(1.0, 2.388420601977992)	(2.0, 1.2869908901740355)	(3.0, 1.2656251706379922)	(4.0, 1.3340715310926412)	(5.0, 1.3844161037071554)	(6.0, 1.3604793718008734)	(7.0, 1.2222426284834595)	(8.0, 1.1206830727763846)	(9.0, 0.9729796135501648)	('>10', 8.47056820372508)	('>50', 2.4457882013645293)	('>100', 5.694305821126564)	('>500', 2.821157369296029)	('>1k', 7.854338780767202)	('>5k', 4.082447558007372)	('>10k+', 56.295485081512496)
31136-053_deduped	(1.0, 1.6403793007393026)	(2.0, 1.0239068502489563)	(3.0, 0.9741665858542051)	(4.0, 0.9074799701416253)	(5.0, 0.8149476203094906)	(6.0, 0.7214737513648999)	(7.0, 0.5850375088534707)	(8.0, 0.4803498561891068)	(9.0, 0.40509481915434387)	('>10', 4.2091168469245055)	('>50', 1.7559515088233515)	('>100', 4.585321001503457)	('>500', 2.5639901478442155)	('>1k', 7.063162942076572)	('>5k', 3.8942909943496464)	('>10k+', 68.37533029562285)
31136-054_deduped	(1.0, 1.9431949560580797)	(2.0, 1.0989342594838047)	(3.0, 1.0269232245679292)	(4.0, 1.0724716271645114)	(5.0, 1.051914681591417)	(6.0, 0.9902269544714065)	(7.0, 0.9047803751907769)	(8.0, 0.8298406394664868)	(9.0, 0.7269904574893887)	('>10', 6.438073740443108)	('>50', 2.10360329191473)	('>100', 4.969485851059127)	('>500', 2.3326887138897607)	('>1k', 6.758905383894944)	('>5k', 3.7102251398697503)	('>10k+', 64.04174070344477)
31136-055_deduped	(1.0, 1.0890933863520353)	(2.0, 0.567322427627392)	(3.0, 0.5439565134837469)	(4.0, 0.5919399695679464)	(5.0, 0.6132500232293474)	(6.0, 0.6359951396880256)	(7.0, 0.6404950040627558)	(8.0, 0.6043825556062796)	(9.0, 0.5709215293535009)	('>10', 5.488584351681905)	('>50', 1.6316169033310817)	('>100', 4.233901996017835)	('>500', 2.0658306784035627)	('>1k', 6.572834238827712)	('>5k', 3.746855237591863)	('>10k+', 70.40302004517501)
