Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
31136-037_deduped	(15, 412167.0)	(16, 477101.0)	(17, 364896.0)	(18, 378704.0)	(19, 440939.0)	(20, 1284568.0)	(21, 1430501.0)	(22, 8108798.0)	(23, 1326408.0)	(24, 370980.0)	(25, 142293.0)	(26, 110325.0)	(27, 175989.0)	(28, 460982.0)	(29, 283419.0)	(30, 220144.0)	(31, 180894.0)	(32, 380535.0)	(33, 210962.0)	(34, 192656.0)	(35, 116906.0)	(36, 120047.0)	(37, 89570.0)	(38, 51553.0)	(39, 57381.0)	(40, 56406.0)	(41, 135881.0)	(42, 56951.0)	(43, 43992.0)	(44, 39642.0)
31136-038_deduped	(15, 349880.0)	(16, 375058.0)	(17, 330774.0)	(18, 314159.0)	(19, 354385.0)	(20, 1049564.0)	(21, 1200909.0)	(22, 7055487.0)	(23, 1088711.0)	(24, 317183.0)	(25, 150110.0)	(26, 96334.0)	(27, 104913.0)	(28, 118107.0)	(29, 87475.0)	(30, 110678.0)	(31, 171018.0)	(32, 232329.0)	(33, 126566.0)	(34, 235017.0)	(35, 126864.0)	(36, 129813.0)	(37, 73233.0)	(38, 59037.0)	(39, 62372.0)	(40, 43971.0)	(41, 64620.0)	(42, 28524.0)	(43, 26819.0)	(44, 17772.0)
31136-039_deduped	(15, 384644.0)	(16, 421912.0)	(17, 339414.0)	(18, 351725.0)	(19, 403071.0)	(20, 1133424.0)	(21, 1346134.0)	(22, 8072694.0)	(23, 1162333.0)	(24, 325084.0)	(25, 126480.0)	(26, 97648.0)	(27, 113738.0)	(28, 117346.0)	(29, 93854.0)	(30, 174639.0)	(31, 271761.0)	(32, 335378.0)	(33, 174368.0)	(34, 390026.0)	(35, 210385.0)	(36, 215002.0)	(37, 91119.0)	(38, 53999.0)	(39, 56270.0)	(40, 45194.0)	(41, 111344.0)	(42, 85113.0)	(43, 62917.0)	(44, 52621.0)
31136-040_deduped	(15, 474560.0)	(16, 533873.0)	(17, 456806.0)	(18, 477378.0)	(19, 536111.0)	(20, 1248357.0)	(21, 1393162.0)	(22, 7607951.0)	(23, 1229785.0)	(24, 422541.0)	(25, 222111.0)	(26, 189721.0)	(27, 206150.0)	(28, 206054.0)	(29, 172567.0)	(30, 213772.0)	(31, 298221.0)	(32, 509160.0)	(33, 321460.0)	(34, 447020.0)	(35, 230286.0)	(36, 238148.0)	(37, 136638.0)	(38, 100844.0)	(39, 103786.0)	(40, 84363.0)	(41, 138832.0)	(42, 111804.0)	(43, 104812.0)	(44, 75541.0)
31136-041_deduped	(15, 257494.0)	(16, 286212.0)	(17, 253578.0)	(18, 256962.0)	(19, 257312.0)	(20, 547041.0)	(21, 613427.0)	(22, 3229683.0)	(23, 561812.0)	(24, 224811.0)	(25, 134007.0)	(26, 123466.0)	(27, 137307.0)	(28, 133927.0)	(29, 105685.0)	(30, 113450.0)	(31, 178785.0)	(32, 149698.0)	(33, 113493.0)	(34, 191917.0)	(35, 125550.0)	(36, 146606.0)	(37, 85460.0)	(38, 70256.0)	(39, 71651.0)	(40, 50282.0)	(41, 66355.0)	(42, 55450.0)	(43, 55168.0)	(44, 38744.0)
31136-042_deduped	(15, 476918.0)	(16, 546611.0)	(17, 481693.0)	(18, 490744.0)	(19, 477484.0)	(20, 1159954.0)	(21, 1267539.0)	(22, 6527239.0)	(23, 1120566.0)	(24, 413742.0)	(25, 232259.0)	(26, 203646.0)	(27, 218520.0)	(28, 218742.0)	(29, 170564.0)	(30, 199453.0)	(31, 315638.0)	(32, 232128.0)	(33, 183594.0)	(34, 298972.0)	(35, 189984.0)	(36, 208273.0)	(37, 135322.0)	(38, 102085.0)	(39, 106279.0)	(40, 83783.0)	(41, 123861.0)	(42, 110548.0)	(43, 103828.0)	(44, 70151.0)
31136-043_deduped	(15, 431616.0)	(16, 498152.0)	(17, 456860.0)	(18, 438892.0)	(19, 457879.0)	(20, 1290995.0)	(21, 1465130.0)	(22, 8140587.0)	(23, 1316930.0)	(24, 394589.0)	(25, 168066.0)	(26, 135049.0)	(27, 149652.0)	(28, 154776.0)	(29, 122950.0)	(30, 177473.0)	(31, 315630.0)	(32, 432231.0)	(33, 233888.0)	(34, 475089.0)	(35, 246934.0)	(36, 295013.0)	(37, 106327.0)	(38, 72953.0)	(39, 75843.0)	(40, 56933.0)	(41, 110593.0)	(42, 83690.0)	(43, 66775.0)	(44, 57313.0)
31136-044_deduped	(15, 350298.0)	(16, 425446.0)	(17, 357466.0)	(18, 328882.0)	(19, 335345.0)	(20, 1107140.0)	(21, 1265856.0)	(22, 7423496.0)	(23, 1146873.0)	(24, 306491.0)	(25, 112376.0)	(26, 84125.0)	(27, 89539.0)	(28, 92251.0)	(29, 76669.0)	(30, 140392.0)	(31, 217764.0)	(32, 197006.0)	(33, 133944.0)	(34, 310808.0)	(35, 167720.0)	(36, 200962.0)	(37, 79870.0)	(38, 45013.0)	(39, 51800.0)	(40, 42877.0)	(41, 90162.0)	(42, 74736.0)	(43, 55424.0)	(44, 50593.0)
31136-045_deduped	(15, 304226.0)	(16, 395556.0)	(17, 296054.0)	(18, 303763.0)	(19, 311587.0)	(20, 996355.0)	(21, 1170902.0)	(22, 6570729.0)	(23, 1068813.0)	(24, 303985.0)	(25, 120910.0)	(26, 91505.0)	(27, 96330.0)	(28, 100297.0)	(29, 81643.0)	(30, 117419.0)	(31, 173727.0)	(32, 216454.0)	(33, 137691.0)	(34, 277157.0)	(35, 155770.0)	(36, 164876.0)	(37, 74884.0)	(38, 46813.0)	(39, 49327.0)	(40, 42943.0)	(41, 77648.0)	(42, 79458.0)	(43, 61337.0)	(44, 54720.0)
31136-046_deduped	(15, 437478.0)	(16, 478129.0)	(17, 416180.0)	(18, 430132.0)	(19, 455607.0)	(20, 1147136.0)	(21, 1328726.0)	(22, 7051356.0)	(23, 1132219.0)	(24, 354004.0)	(25, 173215.0)	(26, 144620.0)	(27, 156225.0)	(28, 155183.0)	(29, 136407.0)	(30, 235852.0)	(31, 416978.0)	(32, 348973.0)	(33, 224224.0)	(34, 445058.0)	(35, 240245.0)	(36, 258963.0)	(37, 104235.0)	(38, 72409.0)	(39, 82409.0)	(40, 62780.0)	(41, 113259.0)	(42, 87505.0)	(43, 74924.0)	(44, 60515.0)
31136-047_deduped	(15, 438600.0)	(16, 496605.0)	(17, 385417.0)	(18, 392047.0)	(19, 437897.0)	(20, 1187347.0)	(21, 1266352.0)	(22, 7010151.0)	(23, 1150902.0)	(24, 334117.0)	(25, 150833.0)	(26, 118843.0)	(27, 127427.0)	(28, 126776.0)	(29, 99301.0)	(30, 119259.0)	(31, 177708.0)	(32, 216618.0)	(33, 124369.0)	(34, 214237.0)	(35, 124366.0)	(36, 128522.0)	(37, 84773.0)	(38, 59481.0)	(39, 62421.0)	(40, 50191.0)	(41, 89359.0)	(42, 69769.0)	(43, 60545.0)	(44, 48058.0)
31136-048_deduped	(15, 321218.0)	(16, 397459.0)	(17, 310774.0)	(18, 318639.0)	(19, 304059.0)	(20, 1117138.0)	(21, 1280446.0)	(22, 7509860.0)	(23, 1160623.0)	(24, 314734.0)	(25, 107735.0)	(26, 79380.0)	(27, 85855.0)	(28, 86933.0)	(29, 67429.0)	(30, 108519.0)	(31, 224296.0)	(32, 172644.0)	(33, 116706.0)	(34, 276270.0)	(35, 139955.0)	(36, 155562.0)	(37, 77929.0)	(38, 38211.0)	(39, 40177.0)	(40, 35895.0)	(41, 93720.0)	(42, 75089.0)	(43, 54677.0)	(44, 47646.0)
31136-049_deduped	(15, 425556.0)	(16, 494537.0)	(17, 418466.0)	(18, 419244.0)	(19, 422024.0)	(20, 1145806.0)	(21, 1337813.0)	(22, 7278273.0)	(23, 1210483.0)	(24, 374697.0)	(25, 169624.0)	(26, 137634.0)	(27, 148930.0)	(28, 147873.0)	(29, 118772.0)	(30, 194914.0)	(31, 329025.0)	(32, 345157.0)	(33, 211068.0)	(34, 482319.0)	(35, 233235.0)	(36, 259641.0)	(37, 107927.0)	(38, 69337.0)	(39, 77992.0)	(40, 62005.0)	(41, 125845.0)	(42, 95288.0)	(43, 73230.0)	(44, 62066.0)
31136-050_deduped	(15, 389430.0)	(16, 435961.0)	(17, 362740.0)	(18, 353771.0)	(19, 367690.0)	(20, 1284441.0)	(21, 1464958.0)	(22, 8785572.0)	(23, 1308683.0)	(24, 318908.0)	(25, 111647.0)	(26, 83191.0)	(27, 88363.0)	(28, 90391.0)	(29, 69324.0)	(30, 123597.0)	(31, 174230.0)	(32, 150155.0)	(33, 106854.0)	(34, 277230.0)	(35, 133412.0)	(36, 132185.0)	(37, 64931.0)	(38, 43632.0)	(39, 53280.0)	(40, 36520.0)	(41, 67746.0)	(42, 71068.0)	(43, 46296.0)	(44, 45663.0)
31136-051_deduped	(15, 427145.0)	(16, 442006.0)	(17, 376673.0)	(18, 392717.0)	(19, 426646.0)	(20, 1379702.0)	(21, 1576812.0)	(22, 9221100.0)	(23, 1380136.0)	(24, 363620.0)	(25, 140883.0)	(26, 105130.0)	(27, 126522.0)	(28, 131439.0)	(29, 99902.0)	(30, 146890.0)	(31, 206373.0)	(32, 224548.0)	(33, 142403.0)	(34, 295584.0)	(35, 160534.0)	(36, 172333.0)	(37, 83091.0)	(38, 68502.0)	(39, 81682.0)	(40, 53990.0)	(41, 85234.0)	(42, 104235.0)	(43, 79908.0)	(44, 74608.0)
31136-052_deduped	(15, 275604.0)	(16, 288135.0)	(17, 293951.0)	(18, 300817.0)	(19, 294608.0)	(20, 853579.0)	(21, 837347.0)	(22, 2795645.0)	(23, 833173.0)	(24, 262691.0)	(25, 163945.0)	(26, 125180.0)	(27, 140314.0)	(28, 173059.0)	(29, 161529.0)	(30, 185701.0)	(31, 265824.0)	(32, 341230.0)	(33, 358889.0)	(34, 305377.0)	(35, 708510.0)	(36, 1200149.0)	(37, 103096.0)	(38, 82156.0)	(39, 75880.0)	(40, 56695.0)	(41, 65196.0)	(42, 52012.0)	(43, 50203.0)	(44, 38076.0)
31136-053_deduped	(15, 267075.0)	(16, 291185.0)	(17, 287086.0)	(18, 307011.0)	(19, 303417.0)	(20, 1175697.0)	(21, 1498444.0)	(22, 4802865.0)	(23, 1193203.0)	(24, 341331.0)	(25, 176557.0)	(26, 119281.0)	(27, 250807.0)	(28, 679698.0)	(29, 740787.0)	(30, 426621.0)	(31, 280374.0)	(32, 624206.0)	(33, 444029.0)	(34, 186564.0)	(35, 237991.0)	(36, 274408.0)	(37, 79989.0)	(38, 61675.0)	(39, 54835.0)	(40, 49028.0)	(41, 73015.0)	(42, 41742.0)	(43, 40206.0)	(44, 37220.0)
31136-054_deduped	(15, 299763.0)	(16, 324741.0)	(17, 309988.0)	(18, 322032.0)	(19, 365779.0)	(20, 1491095.0)	(21, 1363000.0)	(22, 5355941.0)	(23, 1094804.0)	(24, 303477.0)	(25, 180739.0)	(26, 136592.0)	(27, 158957.0)	(28, 192115.0)	(29, 185879.0)	(30, 186878.0)	(31, 214722.0)	(32, 393243.0)	(33, 354240.0)	(34, 268284.0)	(35, 353283.0)	(36, 538693.0)	(37, 92939.0)	(38, 79907.0)	(39, 71967.0)	(40, 53444.0)	(41, 54008.0)	(42, 57883.0)	(43, 56853.0)	(44, 51927.0)
31136-055_deduped	(15, 311017.0)	(16, 345999.0)	(17, 294842.0)	(18, 304197.0)	(19, 351125.0)	(20, 1340313.0)	(21, 1366222.0)	(22, 6069694.0)	(23, 1067283.0)	(24, 248797.0)	(25, 123387.0)	(26, 86530.0)	(27, 102710.0)	(28, 118994.0)	(29, 117902.0)	(30, 153598.0)	(31, 192180.0)	(32, 362642.0)	(33, 311774.0)	(34, 249185.0)	(35, 374316.0)	(36, 611522.0)	(37, 41647.0)	(38, 32076.0)	(39, 27777.0)	(40, 20305.0)	(41, 26822.0)	(42, 24672.0)	(43, 23376.0)	(44, 21216.0)
31136-056_deduped	(15, 432746.0)	(16, 464135.0)	(17, 462057.0)	(18, 443750.0)	(19, 458029.0)	(20, 1001306.0)	(21, 1226519.0)	(22, 3640457.0)	(23, 931245.0)	(24, 357339.0)	(25, 246106.0)	(26, 200123.0)	(27, 211208.0)	(28, 238854.0)	(29, 249563.0)	(30, 283622.0)	(31, 371824.0)	(32, 636030.0)	(33, 658948.0)	(34, 360968.0)	(35, 467300.0)	(36, 603613.0)	(37, 111883.0)	(38, 91884.0)	(39, 89587.0)	(40, 67753.0)	(41, 67691.0)	(42, 61648.0)	(43, 58487.0)	(44, 37406.0)
31136-057_deduped	(15, 444521.0)	(16, 514330.0)	(17, 541131.0)	(18, 487658.0)	(19, 502819.0)	(20, 1333482.0)	(21, 1311069.0)	(22, 4482934.0)	(23, 1058975.0)	(24, 416104.0)	(25, 267904.0)	(26, 225164.0)	(27, 243794.0)	(28, 284647.0)	(29, 262789.0)	(30, 253670.0)	(31, 261180.0)	(32, 337208.0)	(33, 330489.0)	(34, 319875.0)	(35, 402550.0)	(36, 636992.0)	(37, 113374.0)	(38, 95794.0)	(39, 90334.0)	(40, 66646.0)	(41, 63260.0)	(42, 63105.0)	(43, 65274.0)	(44, 49053.0)
31136-058_deduped	(15, 344203.0)	(16, 399460.0)	(17, 418070.0)	(18, 417581.0)	(19, 407759.0)	(20, 1035851.0)	(21, 1101144.0)	(22, 3570846.0)	(23, 949727.0)	(24, 387555.0)	(25, 265288.0)	(26, 222907.0)	(27, 246814.0)	(28, 284808.0)	(29, 284042.0)	(30, 281351.0)	(31, 328267.0)	(32, 397176.0)	(33, 395934.0)	(34, 332947.0)	(35, 532074.0)	(36, 814522.0)	(37, 162018.0)	(38, 140043.0)	(39, 125291.0)	(40, 98356.0)	(41, 99980.0)	(42, 95678.0)	(43, 103282.0)	(44, 80183.0)
31136-059_deduped	(15, 299555.0)	(16, 342554.0)	(17, 308386.0)	(18, 324883.0)	(19, 353832.0)	(20, 1350854.0)	(21, 1344567.0)	(22, 4816675.0)	(23, 1023104.0)	(24, 310803.0)	(25, 197834.0)	(26, 151645.0)	(27, 165272.0)	(28, 224193.0)	(29, 212090.0)	(30, 285159.0)	(31, 1041287.0)	(32, 1144812.0)	(33, 574065.0)	(34, 464937.0)	(35, 775974.0)	(36, 1288090.0)	(37, 104875.0)	(38, 85443.0)	(39, 76476.0)	(40, 59012.0)	(41, 64830.0)	(42, 60674.0)	(43, 63452.0)	(44, 51713.0)
31136-060_deduped	(15, 265665.0)	(16, 297013.0)	(17, 255405.0)	(18, 253454.0)	(19, 266679.0)	(20, 1066544.0)	(21, 1247901.0)	(22, 4763992.0)	(23, 962825.0)	(24, 252434.0)	(25, 129989.0)	(26, 92301.0)	(27, 97345.0)	(28, 111000.0)	(29, 107533.0)	(30, 126931.0)	(31, 154847.0)	(32, 243676.0)	(33, 267286.0)	(34, 247942.0)	(35, 364684.0)	(36, 598464.0)	(37, 55281.0)	(38, 42588.0)	(39, 36986.0)	(40, 31729.0)	(41, 30681.0)	(42, 37387.0)	(43, 38638.0)	(44, 45013.0)
31136-061_deduped	(15, 240114.0)	(16, 305629.0)	(17, 297094.0)	(18, 279239.0)	(19, 291441.0)	(20, 1006642.0)	(21, 1127525.0)	(22, 4225711.0)	(23, 1017866.0)	(24, 306014.0)	(25, 186543.0)	(26, 143815.0)	(27, 157468.0)	(28, 179156.0)	(29, 172457.0)	(30, 202574.0)	(31, 243087.0)	(32, 408024.0)	(33, 459648.0)	(34, 392735.0)	(35, 629994.0)	(36, 871363.0)	(37, 112622.0)	(38, 88876.0)	(39, 80579.0)	(40, 67723.0)	(41, 75439.0)	(42, 77482.0)	(43, 77150.0)	(44, 69526.0)
31136-062_deduped	(15, 311845.0)	(16, 353504.0)	(17, 397067.0)	(18, 371507.0)	(19, 351712.0)	(20, 869760.0)	(21, 981583.0)	(22, 2941090.0)	(23, 928450.0)	(24, 332945.0)	(25, 220126.0)	(26, 168525.0)	(27, 178998.0)	(28, 220110.0)	(29, 239271.0)	(30, 304787.0)	(31, 404305.0)	(32, 519433.0)	(33, 552555.0)	(34, 419414.0)	(35, 781830.0)	(36, 1295338.0)	(37, 117672.0)	(38, 94722.0)	(39, 88681.0)	(40, 71158.0)	(41, 69238.0)	(42, 66291.0)	(43, 60278.0)	(44, 46142.0)
31136-063_deduped	(15, 349665.0)	(16, 424755.0)	(17, 371964.0)	(18, 373725.0)	(19, 387916.0)	(20, 1367804.0)	(21, 1675628.0)	(22, 6459368.0)	(23, 1276076.0)	(24, 344151.0)	(25, 199392.0)	(26, 156109.0)	(27, 165259.0)	(28, 180399.0)	(29, 164668.0)	(30, 177939.0)	(31, 184492.0)	(32, 285801.0)	(33, 268418.0)	(34, 250357.0)	(35, 227472.0)	(36, 309173.0)	(37, 94400.0)	(38, 78443.0)	(39, 72343.0)	(40, 59374.0)	(41, 64046.0)	(42, 65939.0)	(43, 71542.0)	(44, 63932.0)
31136-064_deduped	(15, 161863.0)	(16, 196523.0)	(17, 161615.0)	(18, 167882.0)	(19, 156943.0)	(20, 417891.0)	(21, 478000.0)	(22, 1858242.0)	(23, 487681.0)	(24, 135866.0)	(25, 77827.0)	(26, 51485.0)	(27, 51431.0)	(28, 53491.0)	(29, 54435.0)	(30, 67984.0)	(31, 126266.0)	(32, 173814.0)	(33, 179877.0)	(34, 156994.0)	(35, 261716.0)	(36, 406536.0)	(37, 31915.0)	(38, 26523.0)	(39, 20741.0)	(40, 16033.0)	(41, 17666.0)	(42, 15478.0)	(43, 15703.0)	(44, 16091.0)
31136-065_deduped	(15, 479518.0)	(16, 500480.0)	(17, 455911.0)	(18, 438355.0)	(19, 429299.0)	(20, 1076043.0)	(21, 1265082.0)	(22, 4123811.0)	(23, 1033608.0)	(24, 340242.0)	(25, 193280.0)	(26, 148978.0)	(27, 154876.0)	(28, 169501.0)	(29, 156863.0)	(30, 183112.0)	(31, 216305.0)	(32, 351498.0)	(33, 362537.0)	(34, 359954.0)	(35, 439164.0)	(36, 686324.0)	(37, 87785.0)	(38, 63134.0)	(39, 62111.0)	(40, 51195.0)	(41, 71653.0)	(42, 53429.0)	(43, 52662.0)	(44, 49498.0)
31136-066_deduped	(15, 369532.0)	(16, 401412.0)	(17, 403511.0)	(18, 355413.0)	(19, 337102.0)	(20, 891819.0)	(21, 1233028.0)	(22, 3685958.0)	(23, 1160596.0)	(24, 336377.0)	(25, 165773.0)	(26, 122436.0)	(27, 120401.0)	(28, 131043.0)	(29, 122019.0)	(30, 147964.0)	(31, 162766.0)	(32, 230424.0)	(33, 239383.0)	(34, 281453.0)	(35, 335323.0)	(36, 545418.0)	(37, 70797.0)	(38, 54803.0)	(39, 50641.0)	(40, 42453.0)	(41, 43880.0)	(42, 44409.0)	(43, 39095.0)	(44, 36037.0)
31136-067_deduped	(15, 368372.0)	(16, 382153.0)	(17, 362812.0)	(18, 364251.0)	(19, 377590.0)	(20, 1385453.0)	(21, 1376243.0)	(22, 4653936.0)	(23, 1189085.0)	(24, 317592.0)	(25, 166989.0)	(26, 129514.0)	(27, 137275.0)	(28, 161817.0)	(29, 162599.0)	(30, 171663.0)	(31, 182805.0)	(32, 257655.0)	(33, 215570.0)	(34, 203518.0)	(35, 206569.0)	(36, 290926.0)	(37, 73313.0)	(38, 56596.0)	(39, 53880.0)	(40, 41199.0)	(41, 43037.0)	(42, 44359.0)	(43, 38962.0)	(44, 32699.0)
31136-068_deduped	(15, 119024.0)	(16, 89209.0)	(17, 116034.0)	(18, 439430.0)	(19, 226764.0)	(20, 70192.0)	(21, 105226.0)	(22, 490145.0)	(23, 243044.0)	(24, 100708.0)	(25, 46673.0)	(26, 40295.0)	(27, 36011.0)	(28, 33664.0)	(29, 34002.0)	(30, 45245.0)	(31, 56227.0)	(32, 44784.0)	(33, 61342.0)	(34, 37184.0)	(35, 34345.0)	(36, 21335.0)	(37, 20233.0)	(38, 14490.0)	(39, 10184.0)	(40, 8605.0)	(41, 9523.0)	(42, 13086.0)	(43, 11782.0)	(44, 7565.0)
