Sample	UMI-tools_mqc-generalstats-umi_tools-extract_output_reads	BBDuk_mqc-generalstats-bbduk-Total_Removed_bases_percent	BBDuk_mqc-generalstats-bbduk-Total_Removed_bases	BBDuk_mqc-generalstats-bbduk-Total_Removed_reads_percent	BBDuk_mqc-generalstats-bbduk-Total_Removed_reads	BBDuk_mqc-generalstats-bbduk-Input_reads	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
31136-037.R1	18.882673												
31136-037_bbduk		63.82	738.362073	1.79	0.337439	18.882673	2.362095660526071						
31136-037_deduped								96.29897189444897	40.0	23.06424581541498	22	36.36363636363637	17.72159
31136-038.R1	15.51208												
31136-038_bbduk		64.28	610.2395349999999	1.9	0.294377	15.51208	2.5441856362231783						
31136-038_deduped								94.38557254747816	38.0	22.7933783819008	22	36.36363636363637	14.501681999999999
31136-039.R1	17.903744												
31136-039_bbduk		63.48	695.8943019999999	1.8	0.32176499999999997	17.903744	2.286614308876582						
31136-039_deduped								95.25668236945802	39.0	23.2604214942332	22	36.36363636363637	16.819637
31136-040.R1	19.786073												
31136-040_bbduk		63.06	766.286201	1.92	0.37893099999999996	19.786073	2.443446073101551						
31136-040_deduped								91.5354801232776	41.0	23.684793336121594	22	36.36363636363637	18.491813999999998
31136-041.R1	9.31536												
31136-041_bbduk		63.02	361.09671299999997	2.03	0.189281	9.31536	2.7880686772372902						
31136-041_deduped								88.04699248053696	40.0	23.85300435210615	22	45.45454545454545	8.635589
31136-042.R1	17.688333999999998												
31136-042_bbduk		63.49	690.034316	2.0	0.354591	17.688333999999998	2.6070765584893256						
31136-042_deduped								89.92380189785376	40.0	23.46116075657008	22	36.36363636363637	16.470119999999998
31136-043.R1	19.699248												
31136-043_bbduk		63.39	765.794888	1.84	0.362394	19.699248	2.470950684002156						
31136-043_deduped								94.99624786922813	40.0	23.406962892011247	22	36.36363636363637	18.428808
31136-044.R1	16.332554												
31136-044_bbduk		63.79	637.652961	1.67	0.273459	16.332554	2.312078290474555						
31136-044_deduped								95.27459602885037	39.0	23.020937257752003	22	36.36363636363637	15.361324
31136-045.R1	14.870747												
31136-045_bbduk		63.73	580.410719	1.79	0.26644599999999996	14.870747	2.403909883939						
31136-045_deduped								94.55735562343854	40.0	23.122095156961485	22	36.36363636363637	13.942879
31136-046.R1	17.971821												
31136-046_bbduk		63.16	696.782922	1.87	0.335391	17.971821	2.393292451777777						
31136-046_deduped								92.39982810583254	40.0	23.582652865572346	22	36.36363636363637	16.824946
31136-047.R1	16.434416												
31136-047_bbduk		64.35	647.9451849999999	1.92	0.316237	16.434416	2.5568029211925594						
31136-047_deduped								93.4689687005533	39.0	22.783235935275066	22	36.36363636363637	15.352291
31136-048.R1	16.059099												
