Sample	Read1 Match	Read1 Mismatch
31136-037.R1	18882673	3531909
31136-038.R1	15512080	2458927
31136-039.R1	17903744	2482527
31136-040.R1	19786073	3383683
31136-041.R1	9315360	1950356
31136-042.R1	17688334	3357894
31136-043.R1	19699248	2749667
31136-044.R1	16332554	2492151
31136-045.R1	14870747	2024458
31136-046.R1	17971821	3208050
31136-047.R1	16434416	3074180
31136-048.R1	16059099	2184633
31136-049.R1	18131355	3179603
31136-050.R1	18167158	2990525
31136-051.R1	19788282	3804765
31136-052.R1	12389624	2903700
31136-053.R1	16226188	3052579
31136-054.R1	15827950	2881675
31136-055.R1	15671299	2956785
31136-056.R1	15515257	4255211
31136-057.R1	16666706	3302004
31136-058.R1	15285984	3729289
31136-059.R1	18535683	2833078
31136-060.R1	13277316	2541366
31136-061.R1	14551836	2805143
31136-062.R1	14584262	3464615
31136-063.R1	17233396	3329883
31136-064.R1	6443404	1944456
31136-065.R1	15101817	4723336
31136-066.R1	13032196	4026753
31136-067.R1	14405412	3609790
31136-068.R1	2779148	3609769
